Site,SampleTime,SampleDate,pH,LocationType,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,GWType,X,Y,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
D1,NA,2011-11-07T00:00:00Z,5.05,G5,0.669406,0.136085,0.328591,2.75085,0.0801495,0.502242,0.008,0.066444,0.048319191340744,0.306799991342036,0.0352738312203579,3.20268218419674,2.88763510993528,0.113493721076373,shallow,281751.062,4870859.5,0.745,0.113,0.209,2.23,0.002,0.051,0.4363,0.008,0.007,0.073,3.4e-4,0.0047888888888888885,0.008551,0.00196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2012-02-02T00:00:00Z,5.04,G5,0.76,0.155433,0.294383,2.44838,0.0520212,0.505805,0.008,0.021,0.0429675861429027,0.297595192598858,0.525954067005055,3.10105678111996,2.12415539550087,0.185976696828661,shallow,281751.062,4870859.5,0.738,0.133,0.152,2.07,0.005,0.042,0.438932,0.006,0.006,0.04,3.3e-4,0.004711111111111111,0.006986999999999999,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2012-03-22T00:00:00Z,4.91,G5,0.78,0.174412,0.387754,2.53924,0.118092,0.568274,0.008,0.021,0.0475966551689705,0.296806128547746,1.65322828416926,2.71067266448304,2.39400592474866,0.458768645876473,shallow,281751.062,4870859.5,0.702,0.155,0.248,1.942,0,0.104,0.500784,0.005,0.003,0.037,5.2e-4,0.005522222222222222,0.0861815,0.00325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2012-04-24T00:00:00Z,4.94,G5,0.731147,0.165073,0.300329,2.84755,0.332124,0.544106,0.008,0.021,0.0237156592122826,0.558966580085955,0.993512808174572,2.57494358439621,2.63316917577734,0.330500836915617,shallow,281751.062,4870859.5,0.775,0.165,0.257,2.263,0,0.109,0.5323680000000001,0.009,0.007,0.025,6.2e-4,0.006066666666666666,0.008338499999999999,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2012-08-10T00:00:00Z,4.98,G5,0.760649,0.120914,0.385347,2.77039,0.0901617,0.587772,0.008,0.0621235,0.0417398059731907,0.30829201434865,0.0152402171475596,3.31023070085695,5.75093985862927,0.232988980504787,shallow,281751.062,4870859.5,0.77,0.115,0.366,2.179,0.014,0.08,0.6353559999999999,0.007,0.032,0.039,4.8e-4,0.005348599999999999,0.007112469999999999,0.00259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2013-03-27T00:00:00Z,4.93,G5,0.855143,0.184753,0.34382,2.96792,0.161057,0.519893,0.008,0.21883,0.06093609219813513,0.46200800211839016,0.8031735343587173,2.9495425996841487,2.2764549662616207,0.2932360844146939,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.17150887389693173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2013-04-01T00:00:00Z,4.94,G5,0.798444,0.18620900000000004,0.370082,2.85324,0.080156,0.503117,0.008,0.0788416,0.030745543558596235,0.42916955500079196,0.9332293498139739,2.77463906685012,2.3333346585505557,0.30643696890738636,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.1885734639746566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2013-08-20T00:00:00Z,5.69,G5,1.58705,0.516409,0.20711,2.97031,0.561166,0.685162,0.0349784,0.021,0.1820495645084487,1.5001618193497332,0.19548610957703508,4.682328308297172,3.7055743408885915,0.4177999018725939,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023268769763514455,0.09890225229886239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2013-09-03T00:00:00Z,5.05,G5,1.26798,0.196244,0.309712,3.09203,0.10636140764733032,0.606898,0.008,0.021,0.04839456718681265,0.4721183046870697,0.6660294235005464,3.095557868447268,3.3149046952362378,0.28072241189318153,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.18571989503733746,0.06884037887723646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2014-06-13T00:00:00Z,4.9,G5,0.979217,0.197121,0.344727,2.60099,0.123305,0.566196,0.008,0.021,0.07439036851430875,0.7243744330569556,1.2437126574669959,2.5646449841636567,2.6293798085816795,0.3773075726054644,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.16005625059365305,0.05157264113587636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
