,Site,SampleTime,SampleDate,pH,LocationType,GWType,X,Y,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
1,42_2_s1,1/1/00 14:03,7/12/19,4.43,G1,shallow,281626.546,4871231.05,0.43,0.06,0.53,2.68,0.1,0.22,0.07,0.28,0.02,0.22,0.01,0.51,14.67,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-105,pump,17.21,0.31,0.4,0.25,0.15,0.021,0.016,0.28,0.002,0.02
2,42_2_s1,1/1/00 14:36,6/6/19,4.54,G1,shallow,281626.546,4871231.05,0.36,0.06,0.6,2.28,0.09,0.17,0.07,0.27,0.02,0.23,0.04,0.67,13.78,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-001,pump,15.12,0.28,0.405,0.158,0.247,0.011,0.017,0.23,0.002,0.013
3,42_2_s1,1/1/00 15:53,6/11/19,4.43,G1,shallow,281626.546,4871231.05,0.44,0.06,0.57,2.19,0.11,0.17,0.08,0.28,0.03,0.37,0.02,0.61,14.43,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-028,pump,16.71,0.35,0.402,0.156,0.246,0.012,0.018,0.24,0.004,0.024
4,42_3_s1,1/1/00 14:06,6/6/19,4.76,G2,shallow,281637.4851,4871215.022,0.38,0.06,0.45,2.15,0.1,0.14,0.08,0.09,0.02,0.33,0.31,1.09,7.73,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-002,pump,11.32,0.19,0.302,0.084,0.217,0.013,0.025,0.34,0.002,0.006
5,42_3_s1,1/1/00 16:10,6/11/19,4.67,G2,shallow,281637.4851,4871215.022,0.36,0.06,0.5,2.02,0.1,0.16,0.09,0.1,0.02,0.44,0.3,1.01,8.35,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-029,pump,12.74,0.23,0.325,0.092,0.233,0.008,0.028,0.35,0.003,0.011
6,42_4_d1,1/1/00 11:30,9/6/19,5.06,G3,R_surface,281655.004,4871175.786,0.535145996,0.063093178,0.250682503,3.389771454,0.173934435,0.183072897,0.375208685,0.000459671,0.019408772,0.317316375,0.952705009,1.595834556,1.948728625,0.286922486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-104,pump,11.4,0.054093464,0.144362074,0.006129714,0.13823236,0.01761614,0.001457926,0.531569338,0.001417175,0.0636515
7,42_4_d1,1/1/00 11:32,7/1/20,6.34,G3,R_surface,281655.004,4871175.786,1.62562301,0.679847264,-0.003032535,12.59998617,0.526606553,2.93421953,0.000803854,-0.00364206,0.061954559,0.523070931,0.864462489,5.175371082,0.757937044,0.234452731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-106,pump,30.3,0.025032597,0.031244116,-0.001592942,0.032837058,0.014140943,0.011224683,1.682998132,0.020580155,0.016608666
8,42_4_d1,1/1/00 12:47,1/28/20,6.69,G3,R_surface,281655.004,4871175.786,1.694645784,0.632063624,0.031460892,12.43312201,0.49214876,3.694113608,0.002409611,0.01947237,0.044856343,0.488543527,0.828486311,5.00558078,0.443423121,0.202219048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-107,pump,35.2,0.006456619,NA,NA,NA,0.008610135,0.010057127,1.482225752,0.01850644,0.006759802
9,42_4_d1,1/1/00 12:50,7/16/19,6.41,G3,R_surface,281655.004,4871175.786,1.44,0.63,0.04,12.89,0.59,4.63,0.01,0.03,0.05,0.63,0.87,5.28,0.4,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-085,pump,41,0.07,NA,NA,NA,0.022,0.005,1.84,0.017,0.018
10,42_4_d1,1/1/00 13:08,7/8/19,6.34,G3,R_surface,281655.004,4871175.786,1.73,0.59,0.03,12.2,0.75,2.95,0.03,0.02,0.13,1,0.9,5.65,1.2,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-072,pump,36.5,0.22,NA,NA,NA,0.03,0.003,1.89,0.016,0.025
11,42_4_d1,1/1/00 13:25,7/30/19,6.29,G3,R_surface,281655.004,4871175.786,1.44,0.63,0,12.92,0.52,4.17,0.01,0,0.04,0.52,0.88,5.14,0.29,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-098,pump,38.8,0.01,NA,NA,NA,0.016,0.007,1.81,0.018,0.015
12,42_4_d1,1/1/00 13:25,8/5/20,6.25,G3,R_surface,281655.004,4871175.786,2.02,0.69,0.04,12.72,0.84,2.7,0,0.03,0.06,1.11,1.04,5.46,1.17,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-44,pump,NA,0.15,NA,NA,NA,0.066,0.016,1.75,0.02,0.04
13,42_4_d1,1/1/00 13:27,6/18/19,6.48,G3,R_surface,281655.004,4871175.786,1.58,0.66,0,13.05,0.57,6.63,0.01,0.01,0.05,0.5,0.86,5.02,0.49,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-041,pump,45.48,0,NA,NA,NA,0.014,0.005,1.54,0.02,0
14,42_4_d1,1/1/00 13:37,7/2/19,6.43,G3,R_surface,281655.004,4871175.786,1.54,0.66,0,11.95,0.55,6.5,0,0,0.05,0.47,0.93,5.31,0.38,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-065,pump,46.4,0.01,NA,NA,NA,0.017,0.008,1.65,0.019,0.012
15,42_4_d1,1/1/00 13:44,6/25/19,6.74,G3,R_surface,281655.004,4871175.786,1.56,0.66,0.01,13.07,0.56,6.74,0.01,0.01,0.05,0.49,0.9,5.3,0.33,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-057,pump,46.8,0,NA,NA,NA,0.016,0.007,1.54,0.02,0.01
16,42_4_d1,1/1/00 13:45,7/23/19,6.28,G3,R_surface,281655.004,4871175.786,1.44,0.64,0.02,13.02,0.55,4.61,0.01,0.02,0.05,0.56,0.88,5.13,0.37,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-092,pump,40.8,0.02,NA,NA,NA,0.034,0.009,1.84,0.018,0.004
17,42_4_d1,1/1/00 14:25,6/6/19,6.34,G3,R_surface,281655.004,4871175.786,1.68,0.65,0.01,13.95,0.62,4.28,0.02,0,0.05,0.61,0.87,5.59,0.43,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-004,pump,34.8,0.07,NA,NA,NA,0.005,0.006,1.69,0.019,-0.001
18,42_4_d1,1/1/00 14:57,7/12/19,6.49,G3,R_surface,281655.004,4871175.786,1.7,0.63,0.01,13.07,0.75,4.36,0.03,0.01,0.08,1.04,0.87,5.58,1.04,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-078,pump,42,0.16,NA,NA,NA,0.107,0.006,1.99,0.017,0.007
19,42_4_d1,1/1/00 16:48,6/11/19,6.68,G3,R_surface,281655.004,4871175.786,1,0.15,0.02,7.92,0.44,1.29,0.03,0,0.04,0.52,0.56,3.85,0.28,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-031,pump,15.22,0,NA,NA,NA,0.002,0.001,1.18,0.018,-0.003
20,42_4_d2,1/1/00 11:04,7/1/20,5.7,G3,deep_intoC,281655.033,4871176.429,0.902469467,0.154502963,0.016006097,6.853758625,0.607254514,1.181989373,0.044327924,0.002551395,0.06621523,0.444541302,0.575794083,3.767944873,6.08603154,0.204651159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-105,pump,NA,0.068322772,0.031039075,0.011376032,0.019663043,0.006258425,0.001632471,1.258441575,0.020585972,0.01536642
21,42_4_d2,1/1/00 12:53,7/16/19,5.75,G3,deep_intoC,281655.033,4871176.429,1,0.15,0.01,7.81,0.48,1.29,0.02,0,0.05,0.54,0.47,3.87,0.42,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-086,pump,16.41,0.01,NA,NA,NA,0.006,0.002,1.34,0.016,0.05
22,42_4_d2,1/1/00 12:53,7/30/19,5.77,G3,deep_intoC,281655.033,4871176.429,0.83,0.14,0.01,7.93,0.42,1.12,0.02,0,0.04,0.44,0.53,3.94,0.35,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-099,pump,17.21,0.05,NA,NA,NA,0.013,0.002,1.42,0.015,0.001
23,42_4_d2,1/1/00 12:54,7/8/19,5.82,G3,deep_intoC,281655.033,4871176.429,0.97,0.14,0.01,7.59,0.48,1.15,0.02,0,0.06,0.53,0.57,3.95,0.65,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-073,pump,17.49,0.05,NA,NA,NA,0.015,0.002,1.35,0.015,0.02
24,42_4_d2,1/1/00 12:55,1/28/20,5.98,G3,deep_intoC,281655.033,4871176.429,0.958340417,0.177535582,0.149239456,7.99213142,0.470461877,1.256881702,0.025107113,0.077083411,0.078172279,0.469183555,0.540988314,3.973634942,0.280477493,0.141283249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-108,pump,15.72,0.014284512,NA,NA,NA,0.004791282,0.005053859,1.208027471,0.018060667,0.021949507
25,42_4_d2,1/1/00 13:22,7/2/19,5.8,G3,deep_intoC,281655.033,4871176.429,0.93,0.15,0.01,7.25,0.48,1.29,0.02,0,0.04,0.41,0.49,3.81,0.32,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-066,pump,16.51,0.04,NA,NA,NA,0.003,0.001,1.22,0.016,0.002
26,42_4_d2,1/1/00 13:23,6/18/19,5.65,G3,deep_intoC,281655.033,4871176.429,0.96,0.16,0.02,7.68,0.5,1.4,0.03,0,0.05,0.46,0.55,3.84,0.45,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-042,pump,16.31,-0.01,NA,NA,NA,0.007,0.001,1.18,0.02,0
27,42_4_d2,1/1/00 13:27,7/23/19,5.74,G3,deep_intoC,281655.033,4871176.429,1.03,0.15,0.01,8.01,0.56,1.22,0.03,0.01,0.04,0.76,0.51,4.01,0.65,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-093,pump,18.33,0.13,NA,NA,NA,0.028,0.002,1.41,0.016,0.004
28,42_4_d2,1/1/00 13:48,6/25/19,5.81,G3,deep_intoC,281655.033,4871176.429,0.9,0.15,0.02,7.73,0.48,1.35,0.03,0,0.06,0.47,0.53,3.85,0.38,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-058,pump,16.95,0,NA,NA,NA,0.004,0.001,1.18,0.02,0
29,42_4_d2,1/1/00 13:55,8/5/20,5.71,G3,deep_intoC,281655.033,4871176.429,1.12,0.21,0.18,8.46,0.8,1.31,0.05,0.13,0.08,0.92,0.89,4.51,0.97,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-45,pump,NA,0.1,NA,NA,NA,0.08,0.007,1.44,0.02,0.02
30,42_4_d2,1/1/00 14:40,6/6/19,5.75,G3,deep_intoC,281655.033,4871176.429,0.95,0.15,0.03,7.92,0.45,1.31,0.02,0,0.05,0.52,0.55,3.77,0.44,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-005,pump,15.97,0.01,NA,NA,NA,0.009,0.001,1.25,0.019,0.003
31,42_4_d2,1/1/00 14:49,7/12/19,5.94,G3,deep_intoC,281655.033,4871176.429,1.06,0.17,0.04,7.93,0.54,1.37,0.02,0.03,0.05,0.74,0.51,3.93,0.83,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-079,pump,18.41,0.1,NA,NA,NA,0.046,0.002,1.39,0.016,0.027
32,42_4_d2,1/1/00 16:44,6/11/19,5.82,G3,deep_intoC,281655.033,4871176.429,1.61,0.62,0,12.9,0.59,5.95,0.02,0,0.05,0.67,0.88,5.41,0.37,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-032,pump,41.6,0.02,NA,NA,NA,0.02,0.006,1.59,0.019,0.001
33,42_4_s1,1/1/00 14:50,6/6/19,5.2,G3,shallow,281660.3829,4871158.234,0.69,0.08,0.09,3.21,0.15,0.39,0.03,0,0.02,0.51,0.17,2.39,1.07,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-003,pump,10.26,0.07,0.06,0.006,0.054,0.008,0.001,0.78,0.004,0.011
34,42_4_s1,1/1/00 17:00,6/11/19,5.17,G3,shallow,281660.3829,4871158.234,0.58,0.07,0.11,2.96,0.14,0.35,0.03,0,0.02,0.39,0.11,2.15,1.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-030,pump,9.83,0.05,0.062,0.006,0.056,0.001,0,0.71,0.005,0.036
35,52_2_s1,1/1/00 12:25,6/6/19,4.77,G1,shallow,281790.4303,4871243.602,0.36,0.06,0.48,2.18,0.07,0.17,0.03,0.08,0.01,0.27,0.01,1.03,7.3,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-006,pump,10.46,0.19,0.312,0.086,0.226,0.012,0.001,0.33,0.002,0.001
36,52_2_s1,1/1/00 12:37,7/12/19,4.73,G1,shallow,281790.4303,4871243.602,0.48,0.07,0.4,1.86,0.18,0.35,0.04,0.08,0.02,0.62,0.03,0.87,8.1,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-106,pump,11.75,0.24,0.26,0.14,0.12,0.032,0.001,0.35,0.003,0.015
37,52_2_s1,1/1/00 15:37,6/11/19,4.78,G1,shallow,281790.4303,4871243.602,0.42,0.07,0.41,1.9,0.1,0.24,0.04,0.07,0.02,0.34,0.04,0.99,7.76,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-033,pump,10.67,0.19,0.269,0.089,0.18,0.014,0.002,0.33,0.004,0.015
38,52_3_s1,1/1/00 11:46,7/16/19,4.68,G2,shallow,281790.3689,4871221.759,0.46,0.06,0.55,3.01,0.08,0.14,0.03,0.22,0.01,0.46,0.06,1.23,7.6,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-128,pump,12.49,0.2,0.41,0.15,0.26,0.019,0.002,0.45,0.002,0.006
39,52_3_s1,1/1/00 12:14,6/6/19,4.76,G2,shallow,281790.3689,4871221.759,0.39,0.07,0.43,2.23,0.05,0.19,0.02,0.08,0.02,0.29,0.03,1.18,7.07,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-007,pump,10.31,0.19,0.289,0.08,0.209,0.018,0.002,0.4,0.002,0
40,52_3_s1,1/1/00 12:19,7/2/19,4.63,G2,shallow,281790.3689,4871221.759,0.42,0.06,0.44,2.33,0.06,0.14,0.02,0.17,0.02,0.32,0.04,1.22,7.25,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-088,pump,12.16,0.18,0.308,0.091,0.217,0.007,0.002,0.39,0.002,0.004
41,52_3_s1,1/1/00 12:22,6/25/19,4.67,G2,shallow,281790.3689,4871221.759,0.42,0.05,0.44,2.17,0.05,0.13,0.02,0.13,0.02,0.3,0.03,1.22,6.77,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-068,pump,12.28,0.17,0.306,0.084,0.222,0.006,0.003,0.38,0,0
42,52_3_s1,1/1/00 12:24,7/12/19,4.56,G2,shallow,281790.3689,4871221.759,0.45,0.06,0.46,1.83,0.07,0.17,0.03,0.09,0.02,0.4,0.04,1.01,8.17,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-107,pump,14.15,0.24,0.31,0.16,0.15,0.01,0.002,0.4,0.002,0.011
43,52_3_s1,1/1/00 12:31,6/18/19,4.69,G2,shallow,281790.3689,4871221.759,0.46,0.06,0.42,2.25,0.06,0.14,0.02,0.14,0.02,0.37,0.05,1.16,6.88,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-048,pump,12.25,0.19,0.284,0.084,0.2,0.015,0.003,0.36,0,0
44,52_3_s1,1/1/00 15:31,6/11/19,4.65,G2,shallow,281790.3689,4871221.759,0.4,0.05,0.42,1.98,0.06,0.12,0.02,0.08,0.02,0.34,0.05,1.17,7.55,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-034,pump,12.53,0.19,0.286,0.086,0.2,0.008,0.001,0.39,0.003,0
45,52_4_d1,1/1/00 10:55,3/13/19,6.7,G4,R_surface,281789.7025,4871168.696,2.64,1.446,0.13,11.23,0.76,3.73,0.08,0.12,0.08,0.47,0.89,4.56,0.84,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-002,pump,44.2,0.01,NA,NA,NA,0.012,0.006,1.41,0.031,0
46,52_4_d1,1/1/00 10:57,7/16/19,6.75,G4,R_surface,281789.7025,4871168.696,3.9,1.88,0.26,12.9,1,5.33,0.09,0.16,0.11,0.64,0.89,4.73,1.16,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-087,pump,59.4,0.06,NA,NA,NA,0.008,0.007,1.65,0.039,0.014
47,52_4_d1,1/1/00 11:00,1/28/20,6.85,G4,R_surface,281789.7025,4871168.696,4.469430361,1.917501337,0.279991948,12.90079312,0.902778254,5.310737652,0.040893276,0.152728458,0.115166306,0.532464931,0.875290881,4.567496874,1.807050994,0.286627095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-105,pump,63,0.081896514,NA,NA,NA,0.007005292,0.008805752,1.372528674,0.038992948,0.006642565
48,52_4_d1,1/1/00 11:13,7/8/19,6.97,G4,R_surface,281789.7025,4871168.696,5.15,1.52,0.03,10.8,1,4.09,0.16,0.01,0.2,0.55,0.8,5.34,2.01,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-074,pump,67.4,0.04,NA,NA,NA,0.015,0.004,1.82,0.029,0.002
49,52_4_d1,1/1/00 11:15,8/5/20,6.67,G4,R_surface,281789.7025,4871168.696,2.64,2.26,0.17,11.94,1.07,5.35,0.01,0.12,0.13,0.68,0.58,4.62,1.04,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-42,pump,NA,0.06,NA,NA,NA,0.021,0.008,1.48,0.05,0.05
50,52_4_d1,1/1/00 11:42,6/18/19,6.83,G4,R_surface,281789.7025,4871168.696,7.18,1.57,1.21,14.03,1.32,4.23,0.22,0.92,0.19,0.7,0.79,6.11,2.78,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-043,pump,66.1,0.09,NA,NA,NA,0.008,0.003,1.83,0.03,0.01
51,52_4_d1,1/1/00 11:42,6/25/19,6.95,G4,R_surface,281789.7025,4871168.696,4.26,1.4,0.21,12.41,0.87,4.09,0.08,0.16,0.14,0.61,0.87,4.75,1.21,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-059,pump,53.5,0.04,NA,NA,NA,0.002,0.003,1.39,0.03,0
52,52_4_d1,1/1/00 11:43,6/6/19,6.75,G4,R_surface,281789.7025,4871168.696,3.44,1.48,0.26,12.91,0.83,3.95,0.12,0.24,0.08,0.54,0.72,4.99,0.28,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-009,pump,46.5,0.06,NA,NA,NA,0.008,0.015,1.34,0.029,0.003
53,52_4_d1,1/1/00 11:46,7/2/19,6.79,G4,R_surface,281789.7025,4871168.696,4.22,2.14,0.07,11.88,1.19,6.08,0.11,0.06,0.13,0.57,0.91,4.6,1.22,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-067,pump,66.9,0.03,NA,NA,NA,0.006,0.002,1.48,0.041,0.009
54,52_4_d1,1/1/00 11:57,7/12/19,6.67,G4,R_surface,281789.7025,4871168.696,3.84,1.18,0.03,11.02,0.74,3.27,0.14,0.02,0.13,0.6,0.77,4.37,1.33,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-080,pump,50.5,0.05,NA,NA,NA,0.011,0.007,1.57,0.024,0.001
55,52_4_d1,1/1/00 12:12,7/30/19,6.69,G4,R_surface,281789.7025,4871168.696,2.32,1.61,0.09,11.66,0.9,4.11,0.07,0.07,0.1,0.69,0.73,4.14,0.8,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-100,pump,51,0.08,NA,NA,NA,0.015,0.007,1.48,0.032,0.002
56,52_4_d1,1/1/00 12:32,7/23/19,6.44,G4,R_surface,281789.7025,4871168.696,2.7,1.41,0.22,11.85,0.78,3.75,0.05,0.16,0.1,0.66,0.76,4.09,1.05,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-094,pump,46.9,0.05,NA,NA,NA,0.013,0.006,1.45,0.029,0.003
57,52_4_d1,1/1/00 12:40,7/1/20,6.7,G4,R_surface,281789.7025,4871168.696,2.556313379,1.86715632,0.101380318,10.89531046,0.823418668,4.543676619,0.003602645,0.076912711,0.11580439,0.720247003,0.691326826,4.196806375,0.975738944,0.217342323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-107,pump,48,0.042873218,0.057159624,0.00686649,0.050293134,0.018300682,0.009262543,1.346797901,0.039497561,0.008272752
58,52_4_d1,1/1/00 15:10,6/11/19,6.9,G4,R_surface,281789.7025,4871168.696,5.58,1.52,0.42,12.96,0.98,4.01,0.19,0.32,0.16,0.64,0.9,5.35,1.95,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-036,pump,55.3,0.05,NA,NA,NA,0.007,0.005,1.58,0.03,-0.002
59,52_4_d2,1/1/00 10:28,7/16/19,6.59,G3,deep_intoC,281762.5976,4871095.145,1.9,1.66,0.01,14.79,0.61,4.52,0,0.01,0.08,0.56,0.6,4.67,0.31,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-088,pump,48.9,0.01,NA,NA,NA,0.008,0.016,1.67,0.032,0.003
60,52_4_d2,1/1/00 10:44,1/28/20,6.73,G3,deep_intoC,281762.5976,4871095.145,2.181259432,1.640853445,0.019807424,14.88121576,0.65159899,4.556227631,0.000376855,0.008904993,0.068268561,0.485624889,0.473533586,4.755951091,0.337953905,0.130605677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-106,pump,46.2,0.020276318,NA,NA,NA,0.003359702,0.013515175,1.427777891,0.032421283,0.062640756
61,52_4_d2,1/1/00 10:50,3/13/19,6.58,G3,deep_intoC,281762.5976,4871095.145,2.03,1.666,0.02,15.66,0.63,4.75,0.004,0.02,0.07,0.51,0.71,4.56,0.42,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-001,pump,46.6,0.01,NA,NA,NA,0.012,0.014,1.45,0.032,0
62,52_4_d2,1/1/00 11:00,6/6/19,6.78,G3,deep_intoC,281762.5976,4871095.145,2.16,2.03,0.03,16.08,0.73,5.31,0,0.03,0.13,0.6,0.93,4.63,0.77,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-010,pump,50.4,0.02,NA,NA,NA,0.004,0.004,1.48,0.037,0.006
63,52_4_d2,1/1/00 11:02,7/2/19,6.56,G3,deep_intoC,281762.5976,4871095.145,2.05,1.86,0,14.22,0.7,5.02,0,0,0.08,0.44,0.67,4.79,0.41,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-068,pump,50.8,0.01,NA,NA,NA,0.006,0.013,1.48,0.035,0.011
64,52_4_d2,1/1/00 11:10,6/18/19,6.57,G3,deep_intoC,281762.5976,4871095.145,2.14,1.88,0.01,15.5,0.75,5.21,0,0.01,0.08,0.5,0.67,4.81,0.49,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-044,pump,49.1,0.02,NA,NA,NA,0.007,0.014,1.37,0.04,0.01
65,52_4_d2,1/1/00 11:13,7/8/19,6.73,G3,deep_intoC,281762.5976,4871095.145,1.92,1.79,0.02,15.09,0.63,4.71,0,0.01,0.08,0.44,0.63,4.94,0.25,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-075,pump,54.1,0.02,NA,NA,NA,0.003,0.013,1.67,0.033,0.004
66,52_4_d2,1/1/00 11:19,6/25/19,6.73,G3,deep_intoC,281762.5976,4871095.145,2.01,1.76,0.04,15.32,0.71,4.92,0,0.03,0.07,0.48,0.61,4.76,0.28,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-060,pump,49.1,0.01,NA,NA,NA,0.001,0.011,1.36,0.03,0
