,Site,SampleTime,SampleDate,pH,LocationType,GWType,X,Y,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
305,E1B,NA,10/1/10,5.11,1,stream,NA,NA,0.715219,0.19987,0.324727,2.5237,0.121904,0.691717,0.008,0.021,0.046758521,0.511673651,0,2.525313056,5.297160571,0.170200985,0.794713177,0.241443223,0.354375769,2.828389321,NA,0.14570092,0.832711891,0.01,0.002,NA,0.00073,0.00605,0.00455,0.00016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,E1C,NA,7/10/09,5.66,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0.252,0,3.152,2.714513618,0.078698073,1.195,0.234,0.159,3.228,NA,0.051,0.831,0.003,0.008,0.004,0.00024,0.00566,0.00446,0.00012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,E1C,NA,4/1/10,5.21,1,stream,NA,NA,0.79,0.2,0.27,2.56,0.06,0.57,0,0,0.02,0.31,0.11,2.48,2.79,0.13,0.745,0.205,0.341,2.568,NA,0.069,0.511,0.003,0.007,0.007,0.00028,0.00536,0.00427,0.00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,E1C,NA,10/1/10,4.96,1,stream,NA,NA,0.636941,0.166998,0.319977,2.2825,0.0652408,0.621606,0.008,0.021,0.055811327,0.540401907,0,2.840243949,5.646805574,0.188374446,0.750387997,0.21511695,0.369830629,2.713351646,NA,0.08760375,0.781646879,0.009,0.003,NA,0.00048,0.00559,0.00394,0.00027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,E2A,NA,7/10/09,4.46,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074,0.22,0,2.924,4.886366763,0.121803719,0.709,0.194,0.487,2.14,NA,0.049,0.644,0.008,0.013,0.004,0.00029,0.00466,0.00468,0.00027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,E2A,NA,4/1/10,4.99,1,stream,NA,NA,0.57,0.2,0.55,2.22,0.08,0.56,0.01,0.01,0.01,0.31,0.53,2.32,4.37,0.28,0.571,0.173,0.42,1.558,NA,0.032,0.357,0.009,0.004,0.004,0.00047,0.00477,0.00431,0.00012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,E2A,NA,10/1/10,4.9,1,stream,NA,NA,0.588529,0.199623,0.627161,2.28003,0.0976702,0.691315,0.016076,0.021,0.050615108,0.582419348,0.350033144,2.990450974,6.913087475,0.266840117,0.587072239,0.217127709,0.640947395,2.394170764,NA,0.11506733,0.760236237,0.017,0.008,NA,0.00066,0.00565,0.00455,0.00017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,E2B,NA,7/10/09,4.46,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.204,0,2.892,5.38181623,0.135857316,0.667,0.206,0.505,2.05,NA,0.045,0.704,0.006,0.023,0.004,0.00024,0.00518,0.00504,0.00063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,E2B,NA,4/1/10,4.89,1,stream,NA,NA,0.53,0.18,0.69,2.13,0.08,0.5,0.01,0.01,0.05,0.29,0.61,2.2,5.17,0.32,0.527,0.195,0.707,1.929,NA,0.105,0.44,0.011,0.016,0.004,0.00051,0.00483,0.00586,0.00018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,E2B,NA,10/1/10,4.74,1,stream,NA,NA,0.486117,0.1608,0.873363,2.13092,0.105633,0.555493,0.016668,0.021,0.062012235,0.593039089,0.568142808,2.935000363,8.552639041,0.322296472,0.518903683,0.184749459,0.898213621,2.380569484,NA,0.126021228,0.627384343,0.018,0.02,NA,0.00077,0.00463,0.0058,0.00021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,E2C,NA,7/10/09,4.45,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,0.228,0,2.79,5.970693311,0.139249364,0.566,0.183,0.633,1.803,NA,0.045,0.607,0.006,0.028,0.006,0.00027,0.00412,0.00546,0.00043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,E2C,NA,4/1/10,4.81,1,stream,NA,NA,0.49,0.17,0.81,2.02,0.07,0.42,0.01,0.01,0.03,0.3,0.71,2.16,5.5,0.32,0.487,0.168,0.764,1.75,NA,0.088,0.371,0.01,0.02,0.004,0.00048,0.00413,0.00583,0.00021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,E2C,NA,10/1/10,4.68,1,stream,NA,NA,0.484809,0.145372,0.95776,2.17453,0.0922119,0.491482,0.008,0.021,0.076794543,0.593451254,0.588304366,2.929913571,9.29917837,0.382198694,0.494065357,0.164107598,0.972319924,2.383372102,NA,0.10935,0.543725857,0.017,0.029,NA,0.00069,0.00402,0.00573,0.00028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,E2D,NA,7/10/09,4.76,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,0.194,0,2.738,6.331663637,0.147748455,0.588,0.17,0.685,1.672,NA,0.056,0.625,0.006,0.022,0.005,0.00029,0.00393,0.00577,0.00026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,E2E,NA,7/10/09,4.35,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,0.166,0,2.634,8.130852988,0.212506819,0.468,0.156,0.811,1.592,NA,0.054,0.601,0.007,0.053,0.005,0.00029,0.00345,0.00651,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,E2E,NA,4/1/10,4.74,1,stream,NA,NA,0.47,0.16,1.05,1.92,0.07,0.36,0.01,0.04,0.03,0.31,0.74,2.08,7.39,0.41,0.461,0.158,0.927,1.609,NA,0.083,0.298,0.011,0.042,0.004,0.00049,0.00328,0.006,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,E2E,NA,10/1/10,4.58,1,stream,NA,NA,0.497149,0.142596,1.021,2.248,0.112813,0.500968,0.021267,0.0690003,0.049324382,0.60772042,0.739031533,2.975178266,11.53407143,0.421509527,0.484,0.161,1.473,2.983,NA,0.125,0.534,0.023,0.064,NA,0.00063,0.0036,0.00599,0.00046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
